_model	model.x	model.y	LEMMAPATH	LEMMAREL	bound	foc_base	foc_pmi	foc_pos	foc_win	soc_length	soc_pos	pam_cluster	medoid
destroy.bound3-3all.PPMIno.LENGTHFOC.SOCPOSnav	1.051005669532614	-1.2242064883696957	NA	NA	TRUE	BOW	no	all	3-3	FOC	nav	3	destroy.bound5-5all.PPMIno.LENGTHFOC.SOCPOSall
destroy.bound3-3all.PPMIselection.LENGTH5000.SOCPOSall	1.0916094530760045	-1.475798309678255	NA	NA	TRUE	BOW	selection	all	3-3	5000	all	6	destroy.nobound3-3all.PPMIselection.LENGTH5000.SOCPOSnav
destroy.bound3-3all.PPMIselection.LENGTH5000.SOCPOSnav	1.0556548817771827	-1.5054996512012315	NA	NA	TRUE	BOW	selection	all	3-3	5000	nav	6	destroy.nobound3-3all.PPMIselection.LENGTH5000.SOCPOSnav
destroy.bound3-3all.PPMIselection.LENGTHFOC.SOCPOSall	0.9653049361534639	-0.9515669664624791	NA	NA	TRUE	BOW	selection	all	3-3	FOC	all	7	destroy.bound3-3lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.bound3-3all.PPMIselection.LENGTHFOC.SOCPOSnav	0.9314151473186795	-0.9592528825153782	NA	NA	TRUE	BOW	selection	all	3-3	FOC	nav	6	destroy.nobound3-3all.PPMIselection.LENGTH5000.SOCPOSnav
destroy.bound3-3all.PPMIweight.LENGTH5000.SOCPOSall	1.0158777593298012	-0.6555649040700703	NA	NA	TRUE	BOW	weight	all	3-3	5000	all	7	destroy.bound3-3lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.bound3-3all.PPMIweight.LENGTH5000.SOCPOSnav	1.0362229238623883	-0.6946175620044482	NA	NA	TRUE	BOW	weight	all	3-3	5000	nav	7	destroy.bound3-3lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.bound3-3all.PPMIweight.LENGTHFOC.SOCPOSall	0.9100552126123705	-0.45725241617187384	NA	NA	TRUE	BOW	weight	all	3-3	FOC	all	7	destroy.bound3-3lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.bound3-3all.PPMIweight.LENGTHFOC.SOCPOSnav	0.9147118242415272	-0.4824328548851652	NA	NA	TRUE	BOW	weight	all	3-3	FOC	nav	7	destroy.bound3-3lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.bound3-3lex.PPMIno.LENGTH5000.SOCPOSall	2.002270099379049	0.025009204372166506	NA	NA	TRUE	BOW	no	lex	3-3	5000	all	7	destroy.bound3-3lex.PPMIselection.LENGTHFOC.SOCPOSall
